EMP_FIL_SIGLA,EMP_FIL_FANTASIA,ID_FILIAL,ID_CEP_REF,EMP_FIL_RAZAO,EMP_FIL_LOGRADOURO,EMP_FIL_BAIRRO,EMP_FIL_CIDADE,cep,EMP_FIL_DESCRPOLO,latitude,longitude
XAP,CHAPECO,99,8419.0,BRASPRESS TRANSPORTES URGENTES LTDA,VALDEMIRO BELINSKI (PARALELA A BR 282),TREVO,CHAPECO,89800-000,CHAPECO,-27.0922364,-52.6166878
VTR,VOLTA REDONDA,125,1480984.0,BRASPRESS TRANSPORTES URGENTES LTDA,SETECENTOS E CINQUENTA,C PEDRA,VOLTA REDONDA,27257-265,VOLTA REDONDA,-30.552381699999998,-52.517883206044026
VOT,VOTUPORANGA,254,1325884.0,BRASPRESS TRANSPORTES URGENTES LTDA,MARIANO CORTE,SIMONSEN,VOTUPORANGA,15515-001,VOTUPORANGA REG. METROPOLITANA,-30.819699200000002,-53.90184172089343
VLH,VILHENA,158,1066663.0,RAPIDO RORAIMA LTDA,"3,90E+01",NOVA VILHENA,VILHENA,76980-000,VILHENA,-12.733606451923077,-60.141875875
VIX,VITORIA,34,1702213.0,BRASPRESS TRANSPORTES URGENTES LTDA,ATALYDES MOREIRA DE SOUZA,CIVIT I,SERRA,29168-055,VITORIA E REG. METROPOLITANA,-30.80309115,-53.903525288462596
VDC,VITORIA DA CONQUISTA,72,1453929.0,BRASPRESS TRANSPORTES URGENTES LTDA,BR-116,Ayrton Senna,VITORIA DA CONQUISTA,45089-340,VITORIA DA CONQUISTA,-30.54042975,-52.50797349314027
VCR,MT,109,8280.0,BRASPRESS TRANSPORTES URGENTES LTDA,JUSCELINO K. DE OLIVEIRA,GERTRUDES,VACARIA,95200-000,VACARIA,-28.50276028,-50.93083946
VCP,VIRACOPOS,204,2119246.0,AIR MINAS LINHAS AEREAS LTDA,SANTOS DUMONT (SP-79),JD ITATINGA,CAMPINAS,13052-448,VIRACOPOS,-24.27974615,-53.82557594577587
VAG,VARGINHA,74,1581209.0,BRASPRESS TRANSPORTES URGENTES LTDA,COMENDADOR MANOEL SENDAS,PRQ MARIELA,VARGINHA,37030-010,VARGINHA,-30.80679855,-53.89896375944081
VA,VARGINHA,208,1582854.0,AIR MINAS LINHAS AEREAS LTDA,JOSÉ RIBEIRO TRISTÃO,PRQ MARIELA,VARGINHA,37030-000,VARGINHA,-15.610502050000001,-56.154491754286525
